Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence
x ** 3 - 3 * x ** 2 + 2,-1,4,0.01,1,regula_falsi,-0.7299774348062598,4,0.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.01,2,regula_falsi,-0.7316436470414389,5,0.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.01,3,regula_falsi,-0.7316436470414389,5,0.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.01,4,regula_falsi,-0.7215415460013366,3,0.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.001,1,regula_falsi,-0.7319709241877715,6,0.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.001,2,regula_falsi,-0.7319709241877715,6,0.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.001,3,regula_falsi,-0.7319709241877715,6,0.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,0.001,4,regula_falsi,-0.7316436470414389,5,0.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-05,1,regula_falsi,-0.7320502046470796,9,3.002,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-05,2,regula_falsi,-0.7320502046470796,9,3.0010000000000003,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-05,3,regula_falsi,-0.7320502046470796,9,3.0010000000000003,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-05,4,regula_falsi,-0.7320477338327908,8,3.0010000000000003,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-10,1,regula_falsi,-0.7320508075621411,16,2.002,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-10,2,regula_falsi,-0.7320508075621411,16,3.0010000000000003,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-10,3,regula_falsi,-0.7320508075621411,16,2.0010000000000003,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-10,4,regula_falsi,-0.7320508075345356,15,2.0010000000000003,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-20,1,regula_falsi,-0.7320508075688773,25,2.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-20,2,regula_falsi,-0.7320508075688773,24,3.0,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-20,3,regula_falsi,-0.7320508075688773,25,4.001,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-20,4,regula_falsi,-0.7320508075688773,24,4.001,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-30,1,regula_falsi,-0.7320508075688773,25,3.0010000000000003,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-30,2,regula_falsi,-0.7320508075688773,24,3.0010000000000003,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-30,3,regula_falsi,-0.7320508075688773,25,3.0010000000000003,Yes
x ** 3 - 3 * x ** 2 + 2,-1,4,1e-30,4,regula_falsi,-0.7320508075688773,24,3.002,Yes
